Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
BCPL,Port Clements,53.6346,-132.2129,1,0.0625,,
NYGE,Geneva,42.8667,-76.9833,1,0.0294,,
TXTE,Texarkana,33.2784,-94.2082,1,0.0455,,
OK0E,Sequoyah N.W.R.,35.4333,-95.0167,1,0.0286,,
FLWV,West Volusia County,29.0543,-81.3039,1,0.0157,,
INSB,South Bend,41.6764,-86.2520,1,0.0145,,
WATO,Toppenish N.W.R.,46.3609,-120.4179,1,0.0179,,
NSYA,Yarmouth,43.8302,-66.0881,1,0.0187,,
ONTO,Toronto,43.7086,-79.4104,1,0.0079,,
OHYO,Youngstown,41.0467,-80.6983,1,0.0192,,
